Source,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,reviewer1,reviewer2,Include?,Reason,broiler?,Marine,Aquatic,Fish,Chicken,Tadpoles,Hen,Penguin
Web of Science,"Ben Cash, W.; Holberton, Rebecca L.","Endocrine and behavioral response to a decline in habitat quality: effects of pond drying on the slider turtle, Trachemys scripta.",2005,Journal of Experimental Zoology Part A Comparative Experimental Biology,303A,10,872-879,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Milne, Damian J.; Fisher, Alaric; Rainey, Irene; Pavey, Chris R.","Temporal patterns of bats in the Top End of the Northern Territory, Australia.",2005,Journal of Mammalogy,86,5,909-920,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"O'Brien, Sara; Hau, Michaela",Food cues and gonadal development in neotropical spotted antbirds (Hylophylax naevioides).,2005,Journal of Ornithology,146,4,332-337,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Roulin, Alexandre; Bize, Pierre; Tzaud, Nathalie; Bianchi, Matteo; Ravussin, Pierre-Alain; Christe, Philippe",Oxygen consumption in offspring tawny owls Strix aluco is associated with colour morph of foster mother.,2005,Journal of Ornithology,146,4,390-394,,"Bianchi, Matteo/0000-0003-0517-8599; Christe, Philippe/0000-0002-8605-7002",,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Fahlman, A.; Schmidt, A.; Handrich, Y.; Woakes, A.J.; Butler, P.J.","Metabolism and thermoregulation during fasting in king penguins, Aptenodytes patagonicus, in air and water.",2005,American Journal of Physiology Regulatory Integrative and Comparative Physiology,289,3,R670-R679,,"Fahlman, Andreas/0000-0002-8675-6479",,C,D,No,Irrelevant (incorrect species),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Web of Science,"Voisin, Claire; Godin, Jose; Fleury, Alain",Status and behaviour of little egrets wintering in western France.,2005,British Birds,98,9,468-475,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Smith, Geoffrey R.; Lemos-Espinal, Julio A.",Comparative escape behavior of four species of Mexican phrynosomatid lizards.,2005,Herpetologica,61,3,225-232,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Gaston, Anthony J.; Gilchrist, H. Grant; Hipfner, J. Mark","Climate change, ice conditions and reproduction in an Arctic nesting marine bird: Brunnich's guillemot (Uria lomvia L.).",2005,Journal of Animal Ecology,74,5,832-841,,,,D,C,No,Irrelevant (incorrect species),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
Web of Science,"Torres, Leigh G.; McLellan, William A.; Meagher, Erin; Pabst, D. Ann","Seasonal distribution and relative abundance of bottlenose dolphins, Tursiops truncatus, along the US mid-Atlantic Coast.",2005,Journal of Cetacean Research and Management,7,2,153-161,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Tattersall, Glenn J.; Gerlach, Rebecca M.","Hypoxia progressively lowers thermal gaping thresholds in bearded dragons, Pogona vitticeps.",2005,Journal of Experimental Biology,208,17,3321-3330,,"Tattersall, Glenn/0000-0002-6591-6760",,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
